Sharpe_Ratio,CAGR,Drawdown
7.89620421498259,0.5767883701589098,0.001526303876230312
8.591013099811796,0.6437364411842592,0.0004884315413308191
9.089846132669873,0.7097207054185362,0.0004418655070388427
8.246187736981518,0.6610382015239131,0.00891845769176374
7.759190217461907,0.6419502045062577,-0.004137767799359628
6.781222565886746,0.5759034251452995,0.0013259019878494773
6.128941604717808,0.904005417852239,0.003973498199909321
6.603430085839093,1.068760201925596,0.0010507990070820236
7.053934424569567,1.1611162371812274,0.004984643106908895
6.614798186096704,1.1061030350503191,0.006018216187339344
5.660001800513336,0.9076417514520922,-0.011040263663946875
5.487871857157531,0.8823126273623765,-0.02521886236246298
6.294711978144713,1.028526713953866,-0.0030647498056668382
4.881427283610507,0.842413136369816,-0.0009604097148222523
5.874982222052845,0.9430816279128291,-0.01089194285543271
4.3124343290771705,0.7659832821658636,-0.027840254480463053
3.512378602270214,0.70067540147234,-0.04685596473684072
2.07743494573295,0.5086037239813179,-0.046449674704106304
1.164835331748552,0.325234859724026,-0.08957669776332074
2.212687357273162,0.6330706457091864,-0.059742045365269544
2.2849948541458853,0.6703196612315023,-0.04039454708153077
2.4163174624879997,0.7637884259133909,-0.028430769559664445
2.1765723705437905,0.6846088142854827,-0.02152630751851454
1.7032341257315848,0.5956843334456701,-0.05298540485546495
1.5175548743023708,0.5944753605871327,-0.054093089734201516
1.2718915542161038,0.5556526316000379,-0.0453422337072311
0.8444865048937741,0.4838618247799309,-0.06613016630063606
0.025170418211997635,0.3181811253708491,-0.09961969118676282
0.24877518324467132,0.38093204552440874,-0.09721975000417249
0.560791194647539,0.4421773698566873,-0.07358887643037564
0.428679816642522,0.41413907208370127,-0.08887495301447441
0.08238809938046569,0.39322653864214985,-0.06904708443969848
0.5450551168204243,0.523542095812515,-0.0625484030066301
0.9200732736424735,0.5700323705478529,-0.042203454721273494
1.2292733592364962,0.6226350862601511,-0.018055451420673253
1.6432914225754882,0.6623129137955206,-0.022264614464949033
0.5012685964713347,0.641828056251279,-0.01949563885927669
-0.6169062118776759,0.5304229099826792,-0.032972669246147744
-1.3463136244759875,0.45487172719537283,-0.04312672710856969
-1.3764609267601946,0.4282189017039202,-0.06288054666541848
-1.3186745950423027,0.3439421017914377,-0.06989583226571862
-0.6563518645184686,0.4344241408751539,-0.07329342135961006
-0.9674314928330218,0.46893909258607036,-0.06265902308916502
-0.34611786979494624,0.47392690160101014,-0.043126707507172235
-0.32255700880709254,0.5394822655094327,-0.040542083536035896
0.8650145650176674,0.6341049065869029,-0.011372334064254535
1.42969800872508,0.689416625251126,0.0037886128282843884
2.4832277032483443,0.7114997327404553,0.003393420258569797
3.2535018492561343,0.6518701081113485,0.018024641135576308
